x y pH CE MO N P K CIC Arcilla
482886.688183341 483976.963030587 5.98 0.360 1.05 5.44 37 0.47 5.92 33.51
482898.893894452 483981.381999642 6.06 0.314 1.93 4.87 32 0.27 7.13 33.03
482907.770795039 483984.69628452 5.99 0.376 2.21 5.12 28 0.40 4.67 31.06
482864.493310276 483955.965580396 6.12 0.297 1.66 4.51 20 0.25 5.82 30.55
482874.479742829 483959.279633533 6.01 0.420 1.93 4.92 36 0.28 5.21 29.76
482884.465947346 483961.488318702 5.84 0.595 2.13 5.56 44 0.35 4.48 34.09
482894.451924221 483962.591635916 6.14 0.415 1.08 4.38 37 0.41 5.96 30.78
482904.438127729 483964.800323449 6.04 0.411 1.59 5.08 32 0.33 5.31 33.51
482862.270614738 483938.280130728 6.03 0.382 2.19 5.31 33 0.40 4.84 30.86
482872.256594775 483939.383445383 6.05 0.363 2.14 5.62 36 0.39 4.62 30.80
482881.133273702 483941.592358447 6.19 0.380 1.97 5.87 41 0.35 5.88 25.41
482891.119707225 483944.906413605 6.10 0.43 2.08 6.04 32 0.44 5.27 33.03
482902.215440882 483947.114872986 6.16 0.386 1.94 5.97 37 0.31 5.91 34.44
482857.829089295 483921.700507061 5.96 0.358 2.28 6.29 29 0.28 3.99 31.25
482866.705770528 483923.909418658 5.90 0.437 2.31 7.11 36 0.36 4.56 30.80
482876.691979493 483926.118103033 6.16 0.32 1.88 6.53 46 0.34 5.62 34.51
482886.677960729 483927.221419458 6.13 0.410 2.13 6.89 42 0.40 6.02 32.83
482896.664395711 483930.535475323 6.11 0.418 2.22 6.97 40 0.43 5.39 34.94
482863.372863979 483902.908089956 6.10 0.446 1.09 5.37 42 0.38 6.28 33.30
482883.345513732 483908.430828375 6.24 0.341 0.77 5.85 44 0.39 8.46 17.82
482903.318160679 483913.953571498 6.18 0.352 0.72 5.70 32 0.34 6.37 34.30
482875.574950501 483889.641149909 6.97 0.376 0.83 6.19 23 0.31 9.93 35.79
482895.547375467 483894.058522203 6.31 0.093 1.12 6.44 25 0.35 8.21 31.89
482915.519798152 483898.475899218 6.16 0.414 1.2 6.80 40 0.44 7.12 33.16
482901.092068406 483879.687584539 6.23 0.434 1.29 5.38 37 0.40 8.31 34.30
482918.852238165 483917.266491301 6.20 0.463 1.17 6.51 24 0.47 8.94 35.43
482918.855865843 483934.95239713 6.28 0.455 1.08 6.19 26 0.45 8.41 28.77
482918.860173883 483955.954410399 6.47 0.333 0.80 5.77 31 0.35 9.72 29.58
482922.191704466 483970.323526269 6.58 0.226 1.33 4.98 34 0.30 8.22 27.83
